"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
2716,"宅地(土地)","住宅地","01224","北海道","千歳市","根志越","千歳(北海道)","1H30?2H",2500000,"6600","","1200",2000,"長方形","22.5","","","","","","接面道路無","",,"市街化調整区域",60,200,"2011年第４四半期","",""
2717,"宅地(土地)","住宅地","01224","北海道","千歳市","根志越","千歳(北海道)","1H30?2H",5000000,"6400","","2000㎡以上",2000,"長方形","50.0m以上","","","","","","接面道路無","",,"市街化調整区域",60,200,"2011年第４四半期","",""
2718,"宅地(土地)","住宅地","01224","北海道","千歳市","根志越","千歳(北海道)","1H30?2H",5000000,"6600","","2000㎡以上",2000,"正方形","50.0m以上","","","","","","接面道路無","",,"市街化調整区域",60,200,"2011年第３四半期","",""
2719,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","根志越","千歳(北海道)","1H?1H30",58000000,"","","2000㎡以上",,"正方形","50.0m以上","150","昭和54年","木造","住宅","","北","市道",6.0,"市街化調整区域",60,200,"2011年第３四半期","",""
2720,"宅地(土地)","住宅地","01224","北海道","千歳市","幸福","千歳(北海道)","30分?60分",5300000,"82000","","220",25000,"長方形","","","","","","","北東","市道",,"第１種住居地域",60,200,"2012年第４四半期","",""
2721,"宅地(土地)","住宅地","01224","北海道","千歳市","幸福","千歳(北海道)","30分?60分",5200000,"80000","","220",24000,"長方形","12.9","","","","","","北東","市道",8.0,"第１種住居地域",60,200,"2012年第２四半期","",""
2722,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","幸福","千歳(北海道)","30分?60分",15000000,"","","220",,"長方形","13.0","120","平成12年","木造","住宅","","南西","市道",8.0,"第１種住居地域",60,200,"2012年第１四半期","",""
2723,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","北栄","千歳(北海道)","15",42000000,"","","230",,"長方形","12.6","390","平成2年","鉄骨造","共同住宅","","北西","市道",7.5,"第１種中高層住居専用地域",60,200,"2013年第４四半期","",""
2724,"宅地(土地)","住宅地","01224","北海道","千歳市","北栄","千歳(北海道)","12",18000000,"150000","","400",45000,"長方形","18.0","","","","","","南東","市道",7.5,"第１種中高層住居専用地域",60,200,"2013年第３四半期","",""
2725,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","北栄","千歳(北海道)","17",26000000,"","","180",,"長方形","10.0","120","平成25年","木造","住宅","","北西","市道",7.0,"第１種中高層住居専用地域",60,200,"2013年第２四半期","",""
2726,"農地","","01224","北海道","千歳市","根志越","","",600000,"","","600",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2727,"宅地(土地)","住宅地","01224","北海道","千歳市","北栄","千歳(北海道)","16",26000000,"97000","","880",29000,"長方形","35.0","","","","","","南東","市道",10.0,"第１種中高層住居専用地域",60,200,"2013年第１四半期","",""
2728,"農地","","01224","北海道","千歳市","根志越","","",12000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2729,"農地","","01224","北海道","千歳市","根志越","","",120000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2730,"農地","","01224","北海道","千歳市","根志越","","",22000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2731,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","寿","千歳(北海道)","30分?60分",18000000,"","","280",,"正方形","","130","平成10年","木造","住宅","","北","市道",,"準工業地域",60,200,"2012年第４四半期","",""
2732,"農地","","01224","北海道","千歳市","根志越","","",37000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2733,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","駒里","千歳(北海道)","1H?1H30",4200000,"","","2000㎡以上",,"長方形","50.0m以上","120","","木造","住宅、店舗","","北西","道道",,"市街化調整区域",,,"2012年第２四半期","",""
2734,"農地","","01224","北海道","千歳市","根志越","","",9400000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2735,"農地","","01224","北海道","千歳市","根志越","","",31000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2736,"農地","","01224","北海道","千歳市","根志越","","",8700000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2737,"農地","","01224","北海道","千歳市","根志越","","",150000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2738,"農地","","01224","北海道","千歳市","根志越","","",39000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2739,"農地","","01224","北海道","千歳市","根志越","","",3400000,"","","3600",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2740,"農地","","01224","北海道","千歳市","根志越","","",54000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2741,"農地","","01224","北海道","千歳市","根志越","","",25000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2742,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","みどり台北","長都","28",25000000,"","","230",,"長方形","12.0","100","平成28年","木造","住宅","住宅","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第４四半期","",""
2743,"農地","","01224","北海道","千歳市","根志越","","",32000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2744,"宅地(土地)","住宅地","01224","北海道","千歳市","みどり台北","長都","21",5400000,"77000","","230",23000,"長方形","12.8","","","","","住宅","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第４四半期","",""
2745,"農地","","01224","北海道","千歳市","根志越","","",18000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2746,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","みどり台北","長都","24",27000000,"","","220",,"長方形","14.2","115","平成28年","","住宅","住宅","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第４四半期","",""
2747,"農地","","01224","北海道","千歳市","根志越","","",37000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2748,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","みどり台北","長都","25",23000000,"","","260",,"ほぼ長方形","15.5","140","平成26年","木造","住宅","住宅","北西","市道",21.0,"第２種低層住居専用地域",50,80,"2015年第３四半期","",""
2749,"農地","","01224","北海道","千歳市","根志越","","",26000,"","","400",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2750,"宅地(土地)","住宅地","01224","北海道","千歳市","みどり台北","長都","24",6200000,"78000","","260",24000,"ほぼ長方形","14.5","","","","","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第３四半期","",""
2751,"農地","","01224","北海道","千歳市","根志越","","",38000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2752,"宅地(土地)","住宅地","01224","北海道","千歳市","みどり台北","長都","30分?60分",5400000,"73000","","250",22000,"ほぼ長方形","17.0","","","","","住宅","北西","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第２四半期","",""
2753,"農地","","01224","北海道","千歳市","根志越","","",100000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2754,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","みどり台北","長都","30分?60分",18000000,"","","210",,"長方形","13.0","105","平成26年","木造","住宅","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第２四半期","",""
2755,"農地","","01224","北海道","千歳市","根志越","","",4900000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2756,"宅地(土地)","住宅地","01224","北海道","千歳市","みどり台北","長都","20",5600000,"81000","","230",24000,"ほぼ長方形","18.0","","","","","住宅","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第２四半期","",""
2757,"農地","","01224","北海道","千歳市","根志越","","",1900000,"","","2000",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2758,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","みどり台北","長都","24",29000000,"","","240",,"ほぼ長方形","11.0","125","平成27年","木造","住宅","住宅","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第２四半期","",""
2759,"宅地(土地)","住宅地","01224","北海道","千歳市","北斗","千歳(北海道)","30分?60分",23000000,"33000","","2000㎡以上",10000,"不整形","27.0","","","","","","南西","市道",8.0,"第２種中高層住居専用地域",60,200,"2013年第３四半期","",""
2760,"農地","","01224","北海道","千歳市","根志越","","",9500000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2761,"宅地(土地)","住宅地","01224","北海道","千歳市","みどり台北","長都","24",5000000,"75000","","220",23000,"長方形","14.3","","","","","住宅","北西","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第１四半期","",""
2762,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","北斗","千歳(北海道)","30分?60分",5900000,"","","220",,"長方形","12.0","70","昭和57年","木造","住宅","","北東","市道",8.0,"第２種中高層住居専用地域",60,200,"2013年第３四半期","",""
2763,"農地","","01224","北海道","千歳市","根志越","","",7300000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
2764,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","みどり台北","長都","29",21000000,"","","220",,"ほぼ正方形","14.0","105","平成27年","木造","住宅","住宅","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2015年第１四半期","",""
2765,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","北斗","千歳(北海道)","28",30000000,"","","820",,"不整形","12.0","830","昭和64年","鉄骨造","共同住宅","","北西","市道",11.0,"準住居地域",60,200,"2013年第２四半期","",""
2766,"農地","","01224","北海道","千歳市","根志越","","",19000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第４四半期","",""
